title,channel,publishedAt,views,likes,comments,published_hour,published_day,like_ratio,comment_ratio,GeminiCategory
Siragadikka Aasai | 18th to 21st June 2025 - Promo,Vijay Television,2025-06-18 04:30:30+00:00,2852661,44826,505,4,Wednesday,0.015713749372953886,0.0001770276944929664,nan
ജൂൺ 19 കൃപാസനം അനുദിന അനുഗ്രഹ പ്രാർത്ഥന | Our Daily Bread | Dr.Fr.V.P Joseph Valiyaveettil,Fr V.P Joseph Kreupasanam Official,2025-06-19 00:00:06+00:00,126244,14302,5098,0,Thursday,0.11328855232723932,0.04038211716992491,nan
Kya Kehna : The Revisit,Only Desi,2025-06-17 16:27:49+00:00,810958,54125,2703,16,Tuesday,0.06674205075971876,0.0033330949321666472,nan
Kannappa Official Trailer- Telugu | Vishnu Manchu | Mohan Babu | Prabhas | Mohanlal | Akshay Kumar,T-Series Telugu,2025-06-14 12:45:22+00:00,5843309,241203,12863,12,Saturday,0.041278494770685584,0.0022013212034482517,nan
"[HINDI] realme BMPS 2025 |  Group A, B, C & D | Semi Finals Week 1 - Day 3",KRAFTON INDIA ESPORTS,2025-06-16 15:18:13+00:00,2583305,71272,261,15,Monday,0.027589463884442604,0.00010103336617240318,nan
Panchayat Season 4 - Official Trailer | Premieres 24th June on @PrimeVideoIN,The Viral Fever,2025-06-17 08:28:51+00:00,2286661,67466,1515,8,Tuesday,0.029504154747905353,0.0006625380850069162,nan
Amritpal Mehron ਦੇ ਪਰਿਵਾਰ ਨੂੰ ਮਿਲਣ ਪਹੁੰਚੇ ਸਾਂਸਦ ਭਾਈ Sarabjit Singh Khalsa | ZPHH,Zee Punjab Haryana Himachal,2025-06-17 08:26:43+00:00,164961,3000,384,8,Tuesday,0.0181861167184971,0.0023278229399676287,nan
Playing BRAIN ROT GAME in Roblox!,ProBoii,2025-06-17 12:51:09+00:00,813439,27691,2663,12,Tuesday,0.03404188882018197,0.003273755008058379,nan
Hotstar Specials Special Ops 2 | Official Trailer | Kay Kay Menon | July 11 | JioHotstar,JioHotstar,2025-06-16 07:56:25+00:00,11568889,69497,3473,7,Monday,0.006007231982258625,0.0003002016874740522,nan
#Video | बालों में गुलाब | Baalon Mein Gulab | Neelkamal Singh & Shilpi Raj ft. Sweety Mishra,Saregama Hum Bhojpuri,2025-06-18 01:30:08+00:00,2432756,24074,1783,1,Wednesday,0.009895772531236179,0.0007329136173130392,nan
Pre Finale హడావిడి || Kiraack Boys Khiladi Girls 2 || Sreemukhi,Sreemukhi,2025-06-17 05:30:26+00:00,622115,8160,370,5,Tuesday,0.01311654597622626,0.0005947453445102593,nan
Is Israel Forcing Trump To Declare War On A ‘Near-Nuclear’ Iran?? | Akash Banerjee,The Deshbhakt,2025-06-18 16:49:13+00:00,1457638,54933,4833,16,Wednesday,0.03768631169055692,0.0033156380390741732,nan
"Balam Chota New Haryanvi Song 2025 | Sapna Choudhary, Ruchika Jangid | Haryanvi Gane | T-Series",T-SERIES HARYANVI,2025-06-17 05:24:17+00:00,7623097,217361,12057,5,Tuesday,0.0285134768716704,0.0015816406376568473,nan
Kal Wale Doctor Ne Di Galat Salah,Family Fitness,2025-06-17 10:12:58+00:00,589269,18567,1482,10,Tuesday,0.03150853006012534,0.0025149804248993245,nan
New Thar Leke Ghar Pohoch Gaye 😍,Sourav Joshi Vlogs,2025-06-18 02:30:01+00:00,4945368,218007,4578,2,Wednesday,0.04408306924782948,0.0009257147294195296,nan
Father's Day Special Gift🎁| Car Gift | నాన్నకు ప్రేమతో | Happy Moment | Lasya Talks,Lasya Talks,2025-06-17 10:11:29+00:00,352767,6879,351,10,Tuesday,0.019500123310853906,0.0009949910280723537,nan
Shaadi ke Clothes ka Trial,Wanderers Live,2025-06-16 05:43:39+00:00,2491202,65485,2577,5,Monday,0.026286507477113457,0.0010344404026650588,nan
Funniest Try not to LAUGH Challenge 🤣 ft. @PragatiVermaa,Tripti Verma,2025-06-17 10:28:37+00:00,282110,6914,520,10,Tuesday,0.02450817057176279,0.0018432526319520754,nan
ഉപ്പാന്റെ വീട്ടിലേക് കുട്ടികളെ പറഞ്ഞയച്ചു //വിഷമം പിടിച്ച ദിവസം 🥺,Cool times With me,2025-06-17 08:00:37+00:00,111419,2174,311,8,Tuesday,0.019511932435222,0.0027912654035667167,nan
Duaon Ke Liye Dil Se Shukriya 🙏🏻,Dipika Ki Duniya,2025-06-16 16:37:16+00:00,1027087,60517,6078,16,Monday,0.058921006691740815,0.005917707068631966,nan
കാവ്യ പറഞ്ഞത് അനുസരിച്ചു.. വീട്ടുമുറ്റത്ത് എത്തിയവരെല്ലാം പറഞ്ഞുവിട്ടു ദിലീപ്..!! l Kavya l Dileep,Malayali Life,2025-06-18 13:22:31+00:00,179016,486,106,13,Wednesday,0.0027148411315189706,0.0005921258435000223,nan
என்னடா அந்தாளு இருக்கும்போது மட்டும் பாக்குறாளேன்னு | Dada movie | Kavin | Aparna Das | Pradeep,KalaignarTV Movies,2025-06-14 13:31:01+00:00,1493343,11975,95,13,Saturday,0.00801892130608976,6.36156596307747e-05,nan
"[HINDI] realme BMPS 2025 | Group A, B, C & D | Semi Finals Week 1 - Day 2",KRAFTON INDIA ESPORTS,2025-06-15 15:55:53+00:00,2603545,77520,309,15,Sunday,0.02977478783735253,0.00011868433232381234,nan
"Veera(வீரா) | திங்கள்-வெள்ளி, இரவு 7:30 மணிக்கு | 18 Jun 25 | Promo | Zee Tamil",Zee Tamil,2025-06-18 05:48:12+00:00,794743,20340,125,5,Wednesday,0.025593179178677886,0.00015728354952481495,nan
गर्मियो मे शरीर को ठंडक देने वाले कम घी के पौष्टिक लड्डू जो थकान कमजोरी सरदर्द दूर करे Healthy Laddu,Nirrmla Nehhra,2025-06-16 08:15:41+00:00,272409,1395,44,8,Monday,0.005120976179201128,0.00016152182930813592,nan
Jasprit Bumrah EXPLAINS why he didn't become Test captain for India & looks ahead to England series,Sky Sports Cricket,2025-06-17 11:01:22+00:00,434018,10387,635,11,Tuesday,0.023932187144311987,0.0014630729601076452,nan
Crazy lunch with Crazy Couples || Neeli Meghaalaloo || Tamada Media,Neeli Meghaalaloo,2025-06-17 06:30:16+00:00,231198,5315,105,6,Tuesday,0.022988953191636605,0.0004541561778216075,nan
"Neerparavai - Para Para 8K/4K Video | Vishnu, Sunaina | N.R. Raghunanthan",Sony Music South,2025-06-15 14:30:11+00:00,367135,4722,131,14,Sunday,0.012861753850763344,0.00035681697468233753,nan
Koyila Music Video | Alekhya Harika | Vinayshanmukh | Vijai Bulganin | Cinegrindstudios,Vinay Shanmukh,2025-06-16 14:43:35+00:00,226840,8763,433,14,Monday,0.0386307529536237,0.0019088344207370835,nan
NEW! Ep 4426 - बिल्ली Dekh Kar क्यों डर गए  Gokuldham Wale?! | Taarak Mehta ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,2025-06-17 15:30:24+00:00,2376704,29509,485,15,Tuesday,0.012415933999353727,0.00020406411568289531,nan
பெண் பாவம் | EMI Rani,EMI Rani,2025-06-17 13:30:00+00:00,88393,3404,177,13,Tuesday,0.038509836751778985,0.002002421006188273,nan
Sandhya Raagam | Ep - 556 | Preview | Jun 18 2025 | Zee Tamil,Zee Tamil,2025-06-18 03:45:05+00:00,827694,11495,97,3,Wednesday,0.01388798275691258,0.00011719306893610441,nan
Veera | Ep - 359 | Preview | Jun 18 2025 | Zee Tamil,Zee Tamil,2025-06-18 04:15:01+00:00,720067,12031,34,4,Wednesday,0.0167081674344193,4.721782834097383e-05,nan
I TRIED 7 WEIRD GADGETS,TechShot,2025-06-15 10:30:07+00:00,1667233,59947,2868,10,Sunday,0.035955982157262964,0.001720215470783028,nan
A big mystery in our house akhir Defender thoki kisne ??😳,Dimple Malhan Vlogs,2025-06-17 08:42:20+00:00,3621282,159169,3155,8,Tuesday,0.04395377106781521,0.0008712384177758043,nan
